ผู้สมัคร,จังหวัด,เขต,socialmedia,รูปผู้สมัคร
คริษฐ์ ปานเนียม,ตาก,1,https://www.facebook.com/karitpannaim,https://img.pplethai.org/unsafe/rs:fit:400:800:1/plain/https://directus.pplethai.org/assets/004e64da-19cd-4fbb-b8ba-75833954a8cf.jpg
ณชพล พลอาสา,พิษณุโลก,2,https://www.facebook.com/XNachaphon,https://img.pplethai.org/unsafe/rs:fit:400:800:1/plain/https://directus.pplethai.org/assets/7ec2aea6-6dc4-485e-af72-54db233a97dd.jpg
ปริญวัฒน์ ทวีกิจศิรพงษ์,กำแพงเพชร,1,https://www.facebook.com/ParinwatTaweekitsirapong,https://img.pplethai.org/unsafe/rs:fit:400:800:1/plain/https://directus.pplethai.org/assets/7d6ba4a6-eff8-4cd3-a35c-b1121fe3385b.jpg
ณรัฐพงศ์ พรหมมี,สุโขทัย,2,,https://img.pplethai.org/unsafe/rs:fit:400:800:1/plain/https://directus.pplethai.org/assets/b476d9cb-a4a8-463b-8c1e-68d605369fad.jpg
ธนัชชา แสนสุขุม,อุตรดิตถ์,1,https://www.facebook.com/nat.chaa.31,https://img.pplethai.org/unsafe/rs:fit:400:800:1/plain/https://directus.pplethai.org/assets/a6047716-2608-4ff8-ba37-e603c6a38932.jpg
ไกรรินทร์ ทั่งทอง,พิจิตร,1,https://www.facebook.com/profile.php?id=61583110817683,https://img.pplethai.org/unsafe/rs:fit:400:800:1/plain/https://directus.pplethai.org/assets/4d738afb-f596-4100-bca6-a51ef30e4fe2.jpg
ศุภปกรณ์ กิตยาธิคุณ,พิษณุโลก,5,https://www.facebook.com/Supapakorn.PL5,https://img.pplethai.org/unsafe/rs:fit:400:800:1/plain/https://directus.pplethai.org/assets/bd7e9ab8-efe9-4225-ac4a-4b47c0c5d231.jpg
นาลันทา บุญชิต,นครราชสีมา,13,https://www.facebook.com/profile.php?id=61583932353408,https://img.pplethai.org/unsafe/rs:fit:400:800:1/plain/https://directus.pplethai.org/assets/ecc53a98-7657-4ca2-b04f-94b9ac495995.jpg
ธนากร จำปาหอม,อุดรธานี,2,https://www.facebook.com/profile.php?id=61578875272636,https://img.pplethai.org/unsafe/rs:fit:400:800:1/plain/https://directus.pplethai.org/assets/01b68d8b-8d8e-4776-81d5-20c2b2ab7f6d.jpg
ศวิตา สำลีพันธุ์,เลย,4,https://www.facebook.com/Savita.Samleepun,https://img.pplethai.org/unsafe/rs:fit:400:800:1/plain/https://directus.pplethai.org/assets/aadd83a8-a940-4aba-9c23-eeb24760c063.jpg
